participant_id,split,_STATE,SEQNO,target
48-2023008693,train,48.0,b'2023008693',0
16-2023001549,train,16.0,b'2023001549',0
56-2023000192,train,56.0,b'2023000192',0
44-2023005413,train,44.0,b'2023005413',0
47-2023004942,train,47.0,b'2023004942',0
36-2023011831,train,36.0,b'2023011831',0
49-2023011105,train,49.0,b'2023011105',0
39-2023003935,train,39.0,b'2023003935',0
06-2023011110,train,6.0,b'2023011110',0
34-2023005987,train,34.0,b'2023005987',0
51-2023000384,train,51.0,b'2023000384',0
30-2023003071,train,30.0,b'2023003071',0
09-2023002044,train,9.0,b'2023002044',0
49-2023006452,train,49.0,b'2023006452',0
28-2023004056,train,28.0,b'2023004056',0
49-2023007211,train,49.0,b'2023007211',0
44-2023001910,train,44.0,b'2023001910',0
11-2023002283,train,11.0,b'2023002283',0
35-2023000016,train,35.0,b'2023000016',0
04-2023010964,train,4.0,b'2023010964',0
23-2023010872,train,23.0,b'2023010872',0
44-2023000111,train,44.0,b'2023000111',0
25-2023008790,train,25.0,b'2023008790',0
26-2023005028,train,26.0,b'2023005028',0
06-2023010932,train,6.0,b'2023010932',0
19-2023000011,train,19.0,b'2023000011',0
49-2023011115,train,49.0,b'2023011115',0
35-2023000102,train,35.0,b'2023000102',0
38-2023005730,train,38.0,b'2023005730',0
41-2023003237,train,41.0,b'2023003237',0
38-2023002852,train,38.0,b'2023002852',0
24-2023016363,train,24.0,b'2023016363',0
26-2023006133,train,26.0,b'2023006133',0
13-2023006658,train,13.0,b'2023006658',0
38-2023001735,train,38.0,b'2023001735',0
35-2023002134,train,35.0,b'2023002134',0
48-2023008840,train,48.0,b'2023008840',0
51-2023006006,train,51.0,b'2023006006',0
53-2023000063,train,53.0,b'2023000063',0
50-2023004283,train,50.0,b'2023004283',0
08-2023008059,train,8.0,b'2023008059',0
47-2023000205,train,47.0,b'2023000205',0
54-2023002022,train,54.0,b'2023002022',0
18-2023004424,train,18.0,b'2023004424',0
11-2023001379,train,11.0,b'2023001379',0
51-2023006409,train,51.0,b'2023006409',0
40-2023003372,train,40.0,b'2023003372',0
53-2023019340,train,53.0,b'2023019340',0
24-2023013370,train,24.0,b'2023013370',0
17-2023003593,train,17.0,b'2023003593',0
53-2023013109,train,53.0,b'2023013109',0
25-2023001883,train,25.0,b'2023001883',0
45-2023008922,train,45.0,b'2023008922',0
54-2023001768,train,54.0,b'2023001768',0
53-2023011852,train,53.0,b'2023011852',0
10-2023003991,train,10.0,b'2023003991',0
51-2023006743,train,51.0,b'2023006743',0
36-2023009237,train,36.0,b'2023009237',1
49-2023005831,train,49.0,b'2023005831',0
06-2023010534,train,6.0,b'2023010534',0
33-2023005527,train,33.0,b'2023005527',0
11-2023002206,train,11.0,b'2023002206',0
10-2023001838,train,10.0,b'2023001838',0
49-2023004273,train,49.0,b'2023004273',0
54-2023004089,train,54.0,b'2023004089',0
06-2023006602,train,6.0,b'2023006602',0
49-2023002052,train,49.0,b'2023002052',0
05-2023004160,train,5.0,b'2023004160',0
15-2023005220,train,15.0,b'2023005220',0
31-2023010981,train,31.0,b'2023010981',0
25-2023006015,train,25.0,b'2023006015',0
48-2023007487,train,48.0,b'2023007487',0
20-2023007335,train,20.0,b'2023007335',0
66-2023000600,train,66.0,b'2023000600',0
36-2023013002,train,36.0,b'2023013002',0
47-2023004362,train,47.0,b'2023004362',0
27-2023003707,train,27.0,b'2023003707',0
09-2023003955,train,9.0,b'2023003955',0
45-2023009506,train,45.0,b'2023009506',0
10-2023003318,train,10.0,b'2023003318',0
31-2023010351,train,31.0,b'2023010351',0
09-2023005190,train,9.0,b'2023005190',0
25-2023006114,train,25.0,b'2023006114',0
27-2023005546,train,27.0,b'2023005546',0
17-2023001822,train,17.0,b'2023001822',0
41-2023000141,train,41.0,b'2023000141',0
55-2023008092,train,55.0,b'2023008092',0
10-2023003427,train,10.0,b'2023003427',0
34-2023007217,train,34.0,b'2023007217',0
38-2023005391,train,38.0,b'2023005391',0
31-2023006641,train,31.0,b'2023006641',0
53-2023018055,train,53.0,b'2023018055',0
31-2023009545,train,31.0,b'2023009545',0
02-2023003533,train,2.0,b'2023003533',0
13-2023004298,train,13.0,b'2023004298',0
22-2023004622,train,22.0,b'2023004622',0
48-2023007438,train,48.0,b'2023007438',0
31-2023007486,train,31.0,b'2023007486',0
48-2023000107,train,48.0,b'2023000107',0
54-2023003981,train,54.0,b'2023003981',0
10-2023003022,train,10.0,b'2023003022',0
27-2023013242,train,27.0,b'2023013242',0
48-2023007232,train,48.0,b'2023007232',0
72-2023003761,train,72.0,b'2023003761',0
24-2023008771,train,24.0,b'2023008771',0
49-2023010675,train,49.0,b'2023010675',0
13-2023006610,train,13.0,b'2023006610',0
24-2023016951,train,24.0,b'2023016951',0
31-2023007624,train,31.0,b'2023007624',0
48-2023007932,train,48.0,b'2023007932',0
18-2023010949,train,18.0,b'2023010949',0
11-2023002029,train,11.0,b'2023002029',0
25-2023004509,train,25.0,b'2023004509',0
51-2023006853,train,51.0,b'2023006853',0
34-2023008461,train,34.0,b'2023008461',0
09-2023001528,train,9.0,b'2023001528',0
04-2023010505,train,4.0,b'2023010505',0
24-2023016842,train,24.0,b'2023016842',0
28-2023002306,train,28.0,b'2023002306',0
40-2023006525,train,40.0,b'2023006525',0
39-2023008425,train,39.0,b'2023008425',0
19-2023004894,train,19.0,b'2023004894',0
40-2023003099,train,40.0,b'2023003099',0
04-2023005747,train,4.0,b'2023005747',0
46-2023005603,train,46.0,b'2023005603',0
04-2023007593,train,4.0,b'2023007593',0
20-2023007580,train,20.0,b'2023007580',0
40-2023006566,train,40.0,b'2023006566',0
39-2023007066,train,39.0,b'2023007066',0
26-2023005334,train,26.0,b'2023005334',0
53-2023025134,train,53.0,b'2023025134',0
08-2023003801,train,8.0,b'2023003801',0
02-2023005264,train,2.0,b'2023005264',0
50-2023001341,train,50.0,b'2023001341',0
06-2023005864,train,6.0,b'2023005864',0
51-2023006499,train,51.0,b'2023006499',0
27-2023004713,train,27.0,b'2023004713',0
53-2023006973,train,53.0,b'2023006973',0
29-2023006058,train,29.0,b'2023006058',0
34-2023007680,train,34.0,b'2023007680',0
53-2023011572,train,53.0,b'2023011572',0
10-2023004116,train,10.0,b'2023004116',0
54-2023004118,train,54.0,b'2023004118',0
29-2023003563,train,29.0,b'2023003563',0
11-2023001158,train,11.0,b'2023001158',0
12-2023007904,train,12.0,b'2023007904',0
17-2023002965,train,17.0,b'2023002965',0
08-2023008199,train,8.0,b'2023008199',0
31-2023006866,train,31.0,b'2023006866',0
53-2023024899,train,53.0,b'2023024899',0
40-2023001412,train,40.0,b'2023001412',0
31-2023004646,train,31.0,b'2023004646',0
45-2023000244,train,45.0,b'2023000244',0
18-2023007105,train,18.0,b'2023007105',0
53-2023006706,train,53.0,b'2023006706',0
16-2023005541,train,16.0,b'2023005541',0
53-2023000315,train,53.0,b'2023000315',0
09-2023003698,train,9.0,b'2023003698',0
15-2023002236,train,15.0,b'2023002236',0
53-2023016145,train,53.0,b'2023016145',0
38-2023002421,train,38.0,b'2023002421',0
54-2023003940,train,54.0,b'2023003940',0
06-2023005208,train,6.0,b'2023005208',0
18-2023003043,train,18.0,b'2023003043',0
31-2023004287,train,31.0,b'2023004287',0
35-2023001980,train,35.0,b'2023001980',0
20-2023003188,train,20.0,b'2023003188',0
41-2023000831,train,41.0,b'2023000831',0
36-2023009499,train,36.0,b'2023009499',0
31-2023008737,train,31.0,b'2023008737',0
36-2023015986,train,36.0,b'2023015986',0
44-2023003999,train,44.0,b'2023003999',0
41-2023005695,train,41.0,b'2023005695',0
27-2023015472,train,27.0,b'2023015472',0
48-2023004734,train,48.0,b'2023004734',0
06-2023009833,train,6.0,b'2023009833',0
38-2023001291,train,38.0,b'2023001291',0
55-2023009079,train,55.0,b'2023009079',0
39-2023004740,train,39.0,b'2023004740',0
53-2023022203,train,53.0,b'2023022203',0
29-2023006958,train,29.0,b'2023006958',0
26-2023003152,train,26.0,b'2023003152',0
53-2023023768,train,53.0,b'2023023768',0
06-2023003818,train,6.0,b'2023003818',0
11-2023000659,train,11.0,b'2023000659',0
34-2023003941,train,34.0,b'2023003941',0
13-2023000881,train,13.0,b'2023000881',0
23-2023007033,train,23.0,b'2023007033',0
51-2023000536,train,51.0,b'2023000536',0
13-2023007707,train,13.0,b'2023007707',0
50-2023004273,train,50.0,b'2023004273',0
45-2023002913,train,45.0,b'2023002913',0
19-2023003219,train,19.0,b'2023003219',0
40-2023001524,train,40.0,b'2023001524',0
27-2023002865,train,27.0,b'2023002865',0
53-2023018248,train,53.0,b'2023018248',0
72-2023001700,train,72.0,b'2023001700',0
10-2023001992,train,10.0,b'2023001992',0
36-2023009412,train,36.0,b'2023009412',0
53-2023017847,train,53.0,b'2023017847',0
27-2023008957,train,27.0,b'2023008957',0
55-2023010459,train,55.0,b'2023010459',0
26-2023003679,train,26.0,b'2023003679',0
40-2023002936,train,40.0,b'2023002936',0
09-2023001640,train,9.0,b'2023001640',0
39-2023003604,train,39.0,b'2023003604',0
49-2023010522,train,49.0,b'2023010522',0
04-2023004659,train,4.0,b'2023004659',0
24-2023013022,train,24.0,b'2023013022',0
06-2023010913,train,6.0,b'2023010913',0
51-2023003313,train,51.0,b'2023003313',0
53-2023021616,train,53.0,b'2023021616',0
36-2023004697,train,36.0,b'2023004697',0
29-2023002351,train,29.0,b'2023002351',0
34-2023006210,train,34.0,b'2023006210',0
12-2023007734,train,12.0,b'2023007734',0
20-2023004676,train,20.0,b'2023004676',0
56-2023003470,train,56.0,b'2023003470',0
30-2023001887,train,30.0,b'2023001887',0
36-2023014808,train,36.0,b'2023014808',0
30-2023004403,train,30.0,b'2023004403',0
38-2023005656,train,38.0,b'2023005656',0
25-2023003637,train,25.0,b'2023003637',0
45-2023007258,train,45.0,b'2023007258',0
28-2023001158,train,28.0,b'2023001158',0
11-2023002230,train,11.0,b'2023002230',0
29-2023007050,train,29.0,b'2023007050',0
34-2023004460,train,34.0,b'2023004460',0
02-2023002708,train,2.0,b'2023002708',0
36-2023012801,train,36.0,b'2023012801',0
23-2023006279,train,23.0,b'2023006279',0
34-2023008533,train,34.0,b'2023008533',0
25-2023008528,train,25.0,b'2023008528',0
56-2023003227,train,56.0,b'2023003227',0
15-2023006648,train,15.0,b'2023006648',0
20-2023001937,train,20.0,b'2023001937',0
12-2023006778,train,12.0,b'2023006778',0
53-2023023328,train,53.0,b'2023023328',0
29-2023003877,train,29.0,b'2023003877',0
34-2023009169,train,34.0,b'2023009169',0
45-2023000003,train,45.0,b'2023000003',0
06-2023008287,train,6.0,b'2023008287',0
46-2023005885,train,46.0,b'2023005885',0
55-2023000082,train,55.0,b'2023000082',0
25-2023001773,train,25.0,b'2023001773',0
10-2023001710,train,10.0,b'2023001710',0
37-2023003580,train,37.0,b'2023003580',0
20-2023009737,train,20.0,b'2023009737',0
23-2023007562,train,23.0,b'2023007562',0
51-2023000252,train,51.0,b'2023000252',0
53-2023019943,train,53.0,b'2023019943',0
16-2023003232,train,16.0,b'2023003232',0
48-2023006770,train,48.0,b'2023006770',0
04-2023001620,train,4.0,b'2023001620',0
34-2023002565,train,34.0,b'2023002565',0
56-2023002784,train,56.0,b'2023002784',0
50-2023003336,train,50.0,b'2023003336',0
30-2023003562,train,30.0,b'2023003562',0
36-2023004029,train,36.0,b'2023004029',0
36-2023005033,train,36.0,b'2023005033',0
27-2023006683,train,27.0,b'2023006683',0
53-2023016380,train,53.0,b'2023016380',0
36-2023013932,train,36.0,b'2023013932',0
51-2023006514,train,51.0,b'2023006514',0
35-2023001748,train,35.0,b'2023001748',0
27-2023006762,train,27.0,b'2023006762',0
54-2023001714,train,54.0,b'2023001714',0
11-2023002293,train,11.0,b'2023002293',0
53-2023007150,train,53.0,b'2023007150',0
53-2023009496,train,53.0,b'2023009496',0
28-2023002376,train,28.0,b'2023002376',0
46-2023004795,train,46.0,b'2023004795',0
22-2023004899,train,22.0,b'2023004899',0
16-2023001485,train,16.0,b'2023001485',0
34-2023004717,train,34.0,b'2023004717',0
49-2023010750,train,49.0,b'2023010750',0
66-2023001349,train,66.0,b'2023001349',0
48-2023009128,train,48.0,b'2023009128',0
53-2023019269,train,53.0,b'2023019269',0
31-2023003994,train,31.0,b'2023003994',0
36-2023012157,train,36.0,b'2023012157',0
27-2023014401,train,27.0,b'2023014401',0
55-2023011110,train,55.0,b'2023011110',0
56-2023003842,train,56.0,b'2023003842',0
56-2023001939,train,56.0,b'2023001939',0
41-2023002181,train,41.0,b'2023002181',0
06-2023009975,train,6.0,b'2023009975',0
26-2023007760,train,26.0,b'2023007760',0
53-2023010461,train,53.0,b'2023010461',0
26-2023006992,train,26.0,b'2023006992',0
30-2023005234,train,30.0,b'2023005234',0
56-2023001932,train,56.0,b'2023001932',0
41-2023005638,train,41.0,b'2023005638',0
34-2023000575,train,34.0,b'2023000575',0
15-2023004691,train,15.0,b'2023004691',0
10-2023001144,train,10.0,b'2023001144',0
13-2023007908,train,13.0,b'2023007908',0
46-2023005794,train,46.0,b'2023005794',0
34-2023007089,train,34.0,b'2023007089',0
55-2023009918,train,55.0,b'2023009918',0
05-2023004006,train,5.0,b'2023004006',0
55-2023006197,train,55.0,b'2023006197',0
24-2023007091,train,24.0,b'2023007091',0
25-2023007459,train,25.0,b'2023007459',0
45-2023010033,train,45.0,b'2023010033',0
12-2023003920,train,12.0,b'2023003920',0
35-2023002570,train,35.0,b'2023002570',0
40-2023003439,train,40.0,b'2023003439',0
18-2023008258,train,18.0,b'2023008258',0
56-2023003774,train,56.0,b'2023003774',0
28-2023000838,train,28.0,b'2023000838',0
36-2023014935,train,36.0,b'2023014935',0
55-2023000070,train,55.0,b'2023000070',0
53-2023000249,train,53.0,b'2023000249',0
41-2023005056,train,41.0,b'2023005056',1
72-2023002647,train,72.0,b'2023002647',0
02-2023004152,train,2.0,b'2023004152',0
48-2023008644,train,48.0,b'2023008644',0
06-2023004719,train,6.0,b'2023004719',0
13-2023007302,train,13.0,b'2023007302',0
25-2023007318,train,25.0,b'2023007318',0
50-2023006821,train,50.0,b'2023006821',0
53-2023009165,train,53.0,b'2023009165',0
28-2023000576,train,28.0,b'2023000576',0
34-2023004726,train,34.0,b'2023004726',0
27-2023012179,train,27.0,b'2023012179',0
25-2023006044,train,25.0,b'2023006044',0
26-2023007222,train,26.0,b'2023007222',0
48-2023000854,train,48.0,b'2023000854',0
24-2023014958,train,24.0,b'2023014958',0
16-2023005085,train,16.0,b'2023005085',0
38-2023005677,train,38.0,b'2023005677',0
27-2023011702,train,27.0,b'2023011702',0
26-2023007562,train,26.0,b'2023007562',0
40-2023006602,train,40.0,b'2023006602',0
37-2023001604,train,37.0,b'2023001604',0
01-2023001362,train,1.0,b'2023001362',0
39-2023007728,train,39.0,b'2023007728',0
02-2023002430,train,2.0,b'2023002430',0
27-2023005290,train,27.0,b'2023005290',0
54-2023003298,train,54.0,b'2023003298',0
16-2023005991,train,16.0,b'2023005991',0
41-2023001698,train,41.0,b'2023001698',0
33-2023005332,train,33.0,b'2023005332',0
06-2023010402,train,6.0,b'2023010402',0
31-2023009757,train,31.0,b'2023009757',0
40-2023001432,train,40.0,b'2023001432',0
36-2023004903,train,36.0,b'2023004903',0
44-2023005177,train,44.0,b'2023005177',0
51-2023004737,train,51.0,b'2023004737',0
31-2023010082,train,31.0,b'2023010082',0
47-2023004747,train,47.0,b'2023004747',0
02-2023003702,train,2.0,b'2023003702',0
44-2023005521,train,44.0,b'2023005521',0
08-2023006761,train,8.0,b'2023006761',0
50-2023007147,train,50.0,b'2023007147',0
18-2023002421,train,18.0,b'2023002421',0
04-2023011624,train,4.0,b'2023011624',0
15-2023004901,train,15.0,b'2023004901',0
10-2023002150,train,10.0,b'2023002150',0
04-2023005263,train,4.0,b'2023005263',0
53-2023020291,train,53.0,b'2023020291',0
55-2023000423,train,55.0,b'2023000423',0
28-2023000879,train,28.0,b'2023000879',0
45-2023008665,train,45.0,b'2023008665',0
09-2023003996,train,9.0,b'2023003996',0
10-2023001389,train,10.0,b'2023001389',0
45-2023007424,train,45.0,b'2023007424',0
44-2023003410,train,44.0,b'2023003410',0
53-2023025566,train,53.0,b'2023025566',0
16-2023002233,train,16.0,b'2023002233',0
36-2023008903,train,36.0,b'2023008903',0
24-2023011398,train,24.0,b'2023011398',0
19-2023007182,train,19.0,b'2023007182',0
31-2023006501,train,31.0,b'2023006501',0
15-2023002522,train,15.0,b'2023002522',0
26-2023003641,train,26.0,b'2023003641',0
15-2023001650,train,15.0,b'2023001650',0
53-2023021325,train,53.0,b'2023021325',0
46-2023001291,train,46.0,b'2023001291',0
09-2023007950,train,9.0,b'2023007950',0
66-2023000077,train,66.0,b'2023000077',0
36-2023000151,train,36.0,b'2023000151',0
01-2023002560,train,1.0,b'2023002560',0
28-2023002825,train,28.0,b'2023002825',0
29-2023003583,train,29.0,b'2023003583',0
09-2023003199,train,9.0,b'2023003199',0
49-2023010430,train,49.0,b'2023010430',0
53-2023004575,train,53.0,b'2023004575',0
41-2023000149,train,41.0,b'2023000149',0
31-2023008373,train,31.0,b'2023008373',0
44-2023003540,train,44.0,b'2023003540',0
53-2023022954,train,53.0,b'2023022954',0
49-2023000099,train,49.0,b'2023000099',0
53-2023011931,train,53.0,b'2023011931',0
31-2023002844,train,31.0,b'2023002844',0
05-2023003789,train,5.0,b'2023003789',0
09-2023006712,train,9.0,b'2023006712',0
12-2023007930,train,12.0,b'2023007930',0
51-2023000480,train,51.0,b'2023000480',0
32-2023000660,train,32.0,b'2023000660',0
41-2023000857,train,41.0,b'2023000857',0
09-2023001602,train,9.0,b'2023001602',0
01-2023001915,train,1.0,b'2023001915',0
08-2023007760,train,8.0,b'2023007760',0
18-2023005358,train,18.0,b'2023005358',0
08-2023002992,train,8.0,b'2023002992',0
53-2023010729,train,53.0,b'2023010729',0
38-2023003293,train,38.0,b'2023003293',0
22-2023001795,train,22.0,b'2023001795',0
36-2023005552,train,36.0,b'2023005552',0
51-2023005351,train,51.0,b'2023005351',0
25-2023004476,train,25.0,b'2023004476',0
10-2023001113,train,10.0,b'2023001113',0
34-2023008785,train,34.0,b'2023008785',0
31-2023011925,train,31.0,b'2023011925',0
04-2023009187,train,4.0,b'2023009187',0
51-2023000082,train,51.0,b'2023000082',0
53-2023018915,train,53.0,b'2023018915',0
48-2023004429,train,48.0,b'2023004429',0
49-2023008434,train,49.0,b'2023008434',0
06-2023009902,train,6.0,b'2023009902',0
28-2023003584,train,28.0,b'2023003584',0
16-2023002237,train,16.0,b'2023002237',0
30-2023000930,train,30.0,b'2023000930',0
02-2023004624,train,2.0,b'2023004624',0
20-2023004244,train,20.0,b'2023004244',0
53-2023014765,train,53.0,b'2023014765',0
24-2023004772,train,24.0,b'2023004772',0
53-2023011301,train,53.0,b'2023011301',0
16-2023002547,train,16.0,b'2023002547',0
22-2023002044,train,22.0,b'2023002044',0
39-2023009377,train,39.0,b'2023009377',0
06-2023010831,train,6.0,b'2023010831',0
10-2023003611,train,10.0,b'2023003611',0
01-2023001327,train,1.0,b'2023001327',0
47-2023003117,train,47.0,b'2023003117',0
18-2023003069,train,18.0,b'2023003069',0
36-2023004724,train,36.0,b'2023004724',0
15-2023005690,train,15.0,b'2023005690',0
55-2023006016,train,55.0,b'2023006016',0
26-2023009937,train,26.0,b'2023009937',1
04-2023004228,train,4.0,b'2023004228',0
06-2023006713,train,6.0,b'2023006713',0
27-2023010889,train,27.0,b'2023010889',0
48-2023004672,train,48.0,b'2023004672',0
39-2023011425,train,39.0,b'2023011425',0
15-2023007186,train,15.0,b'2023007186',0
33-2023004533,train,33.0,b'2023004533',0
06-2023008237,train,6.0,b'2023008237',0
41-2023001614,train,41.0,b'2023001614',0
19-2023007715,train,19.0,b'2023007715',0
53-2023011667,train,53.0,b'2023011667',0
45-2023008505,train,45.0,b'2023008505',0
04-2023010614,train,4.0,b'2023010614',0
39-2023007278,train,39.0,b'2023007278',0
39-2023005773,train,39.0,b'2023005773',0
49-2023006317,train,49.0,b'2023006317',0
27-2023015569,train,27.0,b'2023015569',0
31-2023009451,train,31.0,b'2023009451',0
24-2023017123,train,24.0,b'2023017123',0
19-2023004752,train,19.0,b'2023004752',0
50-2023004485,train,50.0,b'2023004485',0
39-2023007605,train,39.0,b'2023007605',0
39-2023013320,train,39.0,b'2023013320',0
24-2023011026,train,24.0,b'2023011026',0
49-2023003117,train,49.0,b'2023003117',0
34-2023005097,train,34.0,b'2023005097',0
53-2023018581,train,53.0,b'2023018581',0
12-2023012550,train,12.0,b'2023012550',0
16-2023002606,train,16.0,b'2023002606',0
19-2023004784,train,19.0,b'2023004784',0
34-2023008715,train,34.0,b'2023008715',0
55-2023010832,train,55.0,b'2023010832',0
36-2023000582,train,36.0,b'2023000582',0
36-2023016671,train,36.0,b'2023016671',0
36-2023012125,train,36.0,b'2023012125',0
25-2023002294,train,25.0,b'2023002294',0
06-2023004855,train,6.0,b'2023004855',0
24-2023012975,train,24.0,b'2023012975',0
39-2023004101,train,39.0,b'2023004101',0
31-2023008895,train,31.0,b'2023008895',0
55-2023007849,train,55.0,b'2023007849',0
31-2023005284,train,31.0,b'2023005284',0
23-2023004903,train,23.0,b'2023004903',0
72-2023001636,train,72.0,b'2023001636',0
50-2023007459,train,50.0,b'2023007459',0
48-2023010019,train,48.0,b'2023010019',0
53-2023026034,train,53.0,b'2023026034',0
32-2023000804,train,32.0,b'2023000804',0
11-2023000965,train,11.0,b'2023000965',0
24-2023014194,train,24.0,b'2023014194',0
36-2023006727,train,36.0,b'2023006727',0
40-2023003784,train,40.0,b'2023003784',0
54-2023004329,train,54.0,b'2023004329',0
31-2023003466,train,31.0,b'2023003466',0
26-2023006218,train,26.0,b'2023006218',0
16-2023005874,train,16.0,b'2023005874',0
34-2023005848,train,34.0,b'2023005848',0
19-2023005639,train,19.0,b'2023005639',0
55-2023005588,train,55.0,b'2023005588',1
09-2023007509,train,9.0,b'2023007509',0
25-2023001447,train,25.0,b'2023001447',0
53-2023012104,train,53.0,b'2023012104',0
45-2023008980,train,45.0,b'2023008980',0
20-2023007498,train,20.0,b'2023007498',0
36-2023014314,train,36.0,b'2023014314',0
72-2023001153,train,72.0,b'2023001153',0
08-2023004902,train,8.0,b'2023004902',0
25-2023004136,train,25.0,b'2023004136',0
31-2023010727,train,31.0,b'2023010727',0
27-2023014545,train,27.0,b'2023014545',0
15-2023002772,train,15.0,b'2023002772',1
53-2023021872,train,53.0,b'2023021872',0
34-2023008247,train,34.0,b'2023008247',0
39-2023010158,train,39.0,b'2023010158',0
26-2023006717,train,26.0,b'2023006717',0
04-2023003013,train,4.0,b'2023003013',0
72-2023004257,train,72.0,b'2023004257',0
19-2023004740,train,19.0,b'2023004740',0
36-2023012133,train,36.0,b'2023012133',0
41-2023002986,train,41.0,b'2023002986',0
36-2023015699,train,36.0,b'2023015699',0
04-2023002703,train,4.0,b'2023002703',0
41-2023001954,train,41.0,b'2023001954',0
31-2023003970,train,31.0,b'2023003970',0
19-2023004580,train,19.0,b'2023004580',0
41-2023005630,train,41.0,b'2023005630',0
49-2023007133,train,49.0,b'2023007133',0
48-2023000293,train,48.0,b'2023000293',0
